lsoa11,no2,pm10,so2
E01029758,9.700769142,12.68601043,1.309934117
E01029759,9.428678345,12.6858986,1.262672158
E01029760,9.422654966,12.69642052,1.261013662
E01029761,7.891663159,11.93349878,1.361424867
E01029762,9.603506327,11.71147823,1.320623318
E01029763,9.30384619,11.61344866,1.454988346
E01029764,9.222359841,11.64101783,1.517777109
E01029765,9.281990058,11.62014278,1.472975777
E01029766,9.209097624,11.67414355,1.53601619
E01029767,9.139541388,11.64920592,1.542332083
E01029768,8.963513374,11.48161125,1.387108862
E01029769,8.809898376,11.44770421,1.411442161
E01029770,9.184531575,11.69492452,1.555604418
E01029771,9.330041409,11.59381866,1.368627667
E01029772,9.412671469,11.61189306,1.365703138
E01029773,9.311653137,11.57228875,1.372808874
E01029774,9.285406515,11.59132388,1.439128447
E01029775,9.647056739,11.63274256,1.326910734
E01029776,9.200943184,11.51470966,1.323070145
E01029777,9.764641285,11.68415499,1.3222031
E01029778,9.052024285,11.97060438,1.317812473
E01029779,9.037316977,11.80629727,1.314026011
E01029780,9.189649459,11.87478166,1.315479169
E01029781,8.331879517,11.86276607,1.379732489
E01029782,8.405730247,11.8558494,1.359315821
E01029783,8.488417261,11.90528836,1.432828022
E01029784,8.352520261,11.93521336,1.448449901
E01029785,8.656816292,12.08591328,1.46284976
E01029786,8.554061651,11.84132051,1.336521983
E01029787,8.526988532,11.91582318,1.439013494
E01029788,7.997891635,11.99515057,1.310275055
E01029789,8.309644763,12.03893687,1.276707188
E01029790,8.135750403,12.02319347,1.336724225
E01029791,8.110394478,12.01043587,1.258678722
E01029792,8.735428463,11.52971719,1.301477346
E01029793,9.007888676,11.60492095,1.320536387
E01029794,8.899730268,11.65273235,1.307608299
E01029795,7.962762814,11.8299138,1.39125498
E01029796,8.395247989,11.8295962,1.317134208
E01029797,7.806485742,10.94318802,1.295847619
E01029798,8.620071607,12.2768358,1.317328989
E01029799,8.746704102,12.21145153,1.314122319
E01029800,8.741357629,12.25618063,1.311994585
E01029801,7.719383119,11.46621342,1.419250785
E01029802,8.587143318,11.2944983,1.342327901
E01029803,8.121127319,11.4777879,1.304106262
E01029804,8.744272452,11.42288116,1.340063368
E01029805,8.843874693,11.43885922,1.322751105
E01029806,8.353551439,11.29798554,1.310972757
E01029807,8.774553299,11.36527848,1.380530506
E01029808,8.719163228,11.42206698,1.360741226
E01029809,8.336994508,11.29356025,1.323501199
E01029810,8.622286936,11.39424787,1.346770695
E01029811,9.085400617,11.48270643,1.355409621
E01029812,9.27232044,11.48428274,1.372991371
E01029813,8.953748941,11.4301703,1.319825709
E01029814,9.174988778,11.47595215,1.404485821
E01029815,9.058801278,11.4130688,1.380235095
E01029816,9.229366493,11.48121392,1.355851947
E01029817,7.583064431,11.11084146,1.278875552
E01029818,9.468289364,11.95686426,1.324346563
E01029819,9.959540749,11.97091827,1.332844329
E01029820,11.63514137,13.70881891,1.26062113
